split,timestamp,actual,mlp_pred,lstm_pred
validation,1974,1.0020552699678085,0.981538712978363,1.0011459589004517
validation,1975,1.0011072398738694,0.9811968207359314,1.0058962106704712
validation,1976,1.0104349348362436,0.9880371689796448,1.0104237794876099
validation,1977,1.0120559100400377,0.9893162846565247,1.0147714614868164
validation,1978,1.0165002848880955,0.9869341254234314,1.01891028881073
validation,1979,1.019620818143577,0.9894713759422302,1.0226784944534302
validation,1980,1.0218002510039526,0.9927312731742859,1.02615487575531
validation,1981,1.0198137847436102,0.9935362935066223,1.0298269987106323
validation,1982,1.0211743151999286,0.9939869046211243,1.033324956893921
validation,1983,1.0204136441147074,0.9977990984916687,1.0366662740707397
validation,1984,1.0203105239182495,0.9978546500205994,1.039857268333435
validation,1985,1.0217997700868073,0.996093213558197,1.0429089069366455
validation,1986,1.0249140962422616,0.9962801337242126,1.0458468198776245
validation,1987,1.0290178401884895,0.9982085824012756,1.0486863851547241
validation,1988,1.0299836105662075,0.9983431696891785,1.0513988733291626
validation,1989,1.033083832031553,0.9979767203330994,1.0539921522140503
validation,1990,1.0356494783612482,0.998783528804779,1.056471586227417
validation,1991,1.0377456997146788,0.9998803734779358,1.058842658996582
validation,1992,1.0394203448660413,0.9999479651451111,1.0611096620559692
validation,1993,1.038045709326623,1.0004137754440308,1.0632747411727905
test,1994,1.041589404534644,1.0210939645767212,1.0464180707931519
test,1995,1.0452423393654349,1.0190222263336182,1.0487215518951416
test,1997,1.0488605059381362,1.02144455909729,1.0510667562484741
test,1998,1.0517695234490998,1.0201627016067505,1.0533828735351562
test,1999,1.0537657604228103,1.0168309211730957,1.0557224750518799
test,2000,1.057380893438829,1.0173455476760864,1.0581190586090088
test,2001,1.05814164702775,1.018202304840088,1.0608021020889282
test,2002,1.059855933010481,1.0175986289978027,1.0628641843795776
test,2003,1.062780041998535,1.0169872045516968,1.0648895502090454
test,2004,1.0656091002860686,1.0181918144226074,1.0668556690216064
test,2005,1.0657124076442432,1.016540765762329,1.0687576532363892
test,2006,1.0687254978716947,1.0141091346740723,1.0705844163894653
test,2007,1.0686680313678267,1.013279914855957,1.0723220109939575
test,2008,1.0701474760016163,1.013545036315918,1.073939561843872
test,2009,1.0624075116916045,1.0125987529754639,1.0754894018173218
test,2010,1.0652375617164744,1.0115745067596436,1.0769680738449097
test,2011,1.0653876616341473,1.0114272832870483,1.0783747434616089
test,2012,1.0644095625268077,1.0114489793777466,1.0797100067138672
test,2013,1.061536705268499,1.0108811855316162,1.0809752941131592
test,2014,1.0584082708644673,1.0106700658798218,1.082174301147461
