model,lookback,best_params,best_epoch,best_val_loss,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_test,rank_abs_mbe_test
lstm,6,"{'hidden_size': 16, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",77,1.4394368918146938e-05,0.010886647646840109,0.01040935544880559,1.0157185964674977,-0.01040935544880559,0.01040935544880559,22651.620287335674,21175.37736182385,10.94312732677458,-21175.37736182385,21175.37736182385,0.023962236504331606,0.022745778199748056,2.1411429949834573,-0.022745778199748056,0.022745778199748056,69020.73804854516,64931.33243667674,22.198284984554917,-64931.33243667674,64931.33243667674,69020.73804854516,64931.33243667674
mlp,6,"{'hidden_size': 8, 'activation': 'relu', 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",177,9.224497262039222e-06,0.020043220678587763,0.019420361804091235,1.8941686694490552,-0.019420361804091235,0.019420361804091235,39742.26255926733,37674.74216212055,19.415621399821134,-37674.74216212055,37674.74216212055,0.025129456041653682,0.023880865212992687,2.248054739939514,-0.023880865212992687,0.023880865212992687,71871.03744484512,67713.82836773977,23.158619277890818,-67713.82836773977,67713.82836773977,71871.03744484512,67713.82836773977
