split,timestamp,actual,mlp_pred,lstm_pred
validation,1974,1.0020552699678085,0.9907245635986328,0.9925967454910278
validation,1975,1.0011072398738694,0.9928377866744995,0.9966739416122437
validation,1976,1.0104349348362436,0.9939160346984863,1.000252366065979
validation,1977,1.0120559100400377,0.9958802461624146,1.0032436847686768
validation,1978,1.0165002848880955,0.9987915754318237,1.0055841207504272
validation,1979,1.019620818143577,1.0010182857513428,1.0069620609283447
validation,1980,1.0218002510039526,1.0001018047332764,1.007566213607788
validation,1981,1.0198137847436102,1.0013638734817505,1.0099055767059326
validation,1982,1.0211743151999286,1.0021584033966064,1.0118314027786255
validation,1983,1.0204136441147074,1.0033119916915894,1.013410210609436
validation,1984,1.0203105239182495,1.004745602607727,1.0147348642349243
validation,1985,1.0217997700868073,1.0059291124343872,1.0159189701080322
validation,1986,1.0249140962422616,1.0064865350723267,1.0171306133270264
validation,1987,1.0290178401884895,1.0074245929718018,1.018486499786377
validation,1988,1.0299836105662075,1.0081956386566162,1.0196540355682373
validation,1989,1.033083832031553,1.0090616941452026,1.0206953287124634
validation,1990,1.0356494783612482,1.0099821090698242,1.0216628313064575
validation,1991,1.0377456997146788,1.0108195543289185,1.022592306137085
validation,1992,1.0394203448660413,1.0115209817886353,1.0234975814819336
validation,1993,1.038045709326623,1.0122697353363037,1.0243608951568604
test,1994,1.041589404534644,1.0353769063949585,1.0352554321289062
test,1995,1.0452423393654349,1.0357261896133423,1.0365270376205444
test,1997,1.0488605059381362,1.0359549522399902,1.0372618436813354
test,1998,1.0517695234490998,1.0364519357681274,1.0375244617462158
test,1999,1.0537657604228103,1.036892056465149,1.0373902320861816
test,2000,1.057380893438829,1.036572813987732,1.0369583368301392
test,2001,1.05814164702775,1.0359892845153809,1.0367910861968994
test,2002,1.059855933010481,1.0359597206115723,1.0371251106262207
test,2003,1.062780041998535,1.0359044075012207,1.037231206893921
test,2004,1.0656091002860686,1.0359822511672974,1.0372025966644287
test,2005,1.0657124076442432,1.0360565185546875,1.0371263027191162
test,2006,1.0687254978716947,1.0359570980072021,1.03707754611969
test,2007,1.0686680313678267,1.035804271697998,1.037109375
test,2008,1.0701474760016163,1.0357476472854614,1.037171483039856
test,2009,1.0624075116916045,1.0356861352920532,1.0371735095977783
test,2010,1.0652375617164744,1.0356686115264893,1.0371570587158203
test,2011,1.0653876616341473,1.0356532335281372,1.0371466875076294
test,2012,1.0644095625268077,1.0356013774871826,1.0371513366699219
test,2013,1.061536705268499,1.0355395078659058,1.0371654033660889
test,2014,1.0584082708644673,1.0354936122894287,1.0371742248535156
