family,model,best_params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,aic,aicc,lookback,feature_selection,selected_features,n_selected_features,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_val,rank_abs_mbe_val,rank_rmse_test,rank_abs_mbe_test,best_epoch,best_val_loss,rank_rmse_val_global,rank_abs_mbe_val_global
ml,decision_tree,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.0,0.0,0.0,0.0,0.0,1.1350690258549148e-10,9.956573577303635e-11,5.2870074445985686e-14,-3.216739155744252e-11,3.216739155744252e-11,0.12848513337676948,0.0871228904355537,964.1957380695493,0.002724892854510097,0.002724892854510097,,,12.0,importance,"lag_1, lag_2, lag_3, lag_7, lag_8, lag_9",6.0,193709.09303423102,176104.79528117474,59.90772300291744,-176104.79528117474,176104.79528117474,1.1350690258549148e-10,3.216739155744252e-11,193709.09303423102,176104.79528117474,,,1.1350690258549148e-10,3.216739155744252e-11
statistical,sarima,"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 0)}",0.04049785037029154,0.029648777571584094,100.0,0.0020209210416137885,0.0020209210416137885,6933.849602129962,5414.245026262616,2.9741502853620334,-2281.997918571142,2281.997918571142,0.041527662970813756,0.02765527885097079,100.0,0.0009816814398380558,0.0009816814398380558,-166.66801474721967,-166.63063156964958,,,,,,,,,,,,,,,,6933.849602129962,2281.997918571142
ml,gradient_boosting,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",0.03487623859896213,0.02709098668960409,144.78657352267368,0.001334639969464647,0.001334639969464647,7708.706657817288,5945.285086650874,3.063325103651925,-456.62371216074865,456.62371216074865,0.04016579556225844,0.02619728608468368,336.72276210866954,0.0025790357694435813,0.0025790357694435813,,,6.0,importance,"lag_1, lag_5, lag_3, lag_2, lag_4, lag_6",6.0,72836.98668358775,65171.83626084852,22.059264227411962,-65171.83626084852,65171.83626084852,7708.706657817288,456.62371216074865,72836.98668358775,65171.83626084852,,,7708.706657817288,456.62371216074865
statistical,holt_winters,"{'trend': 'add', 'seasonal': None, 'damped_trend': True}",0.04047330781995442,0.029558326108679454,98.64850298292268,0.0014480617860107314,0.0014480617860107314,12451.241397287415,10881.282236548968,5.537832603473673,-10360.169515863397,10360.169515863397,0.04151627348931495,0.027531556207895026,98.26552068227024,0.00013368269279573358,0.00013368269279573358,-470.46008726375373,-469.3511763726646,,,,,,,,,,,,,,,,12451.241397287415,10360.169515863397
ml,random_forest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.02869803059377716,0.022035789785033982,100.67657129387375,0.000325456458658764,0.000325456458658764,21287.781083185942,15903.69504404905,7.68026886931086,-15713.783427762646,15713.783427762646,0.04097937712405447,0.025437760431449553,143.91279623138684,-0.0007641794966594827,0.0007641794966594827,,,6.0,importance,"lag_1, lag_5, lag_3, lag_2, lag_4, lag_6",6.0,92371.98808262972,82535.40552139918,28.008278572392875,-82535.40552139918,82535.40552139918,21287.781083185942,15713.783427762646,92371.98808262972,82535.40552139918,,,21287.781083185942,15713.783427762646
neural,lstm,"{'hidden_size': 8, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",0.015986480855374276,0.0134540964128252,1.3082626008002116,0.013362049771226148,0.013362049771226148,41396.8175688942,33818.63406996269,16.79269093102563,33665.77938854018,33665.77938854018,0.009391615185521694,0.0066250959667405905,0.6244008377005563,0.0066250959667405905,0.0066250959667405905,,,6.0,,,,33649.26376660774,23138.377471449086,8.007480422512002,23138.377471449086,23138.377471449086,41396.8175688942,33665.77938854018,33649.26376660774,23138.377471449086,107.0,1.3260073501442093e-05,41396.8175688942,33665.77938854018
neural,mlp,"{'hidden_size': 16, 'activation': 'tanh', 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",0.029445103733789495,0.02883085935028722,2.8135785324631843,-0.02883085935028722,0.02883085935028722,55020.73303418689,52867.90065929842,27.42369098392282,-52867.90065929842,52867.90065929842,0.04535746050079745,0.04413401686818983,4.1575919972970565,-0.04413401686818983,0.04413401686818983,,,12.0,,,,115416.57651469397,111709.22934136706,38.553732319601245,-111709.22934136706,111709.22934136706,55020.73303418689,52867.90065929842,115416.57651469397,111709.22934136706,16.0,1.1902208825631533e-05,55020.73303418689,52867.90065929842
