global_rank,model,best_params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,aic,aicc,family,lookback,feature_selection,selected_features,n_selected_features,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_val,rank_abs_mbe_val,rank_rmse_test,rank_abs_mbe_test,best_epoch,best_val_loss,rank_rmse_val_global,rank_abs_mbe_val_global
1,decision_tree,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.0,0.0,0.0,0.0,0.0,1.1350690258549148e-10,9.956573577303635e-11,5.2870074445985686e-14,-3.216739155744252e-11,3.216739155744252e-11,0.12848513337676948,0.0871228904355537,964.1957380695493,0.002724892854510097,0.002724892854510097,,,ml,12.0,importance,"lag_1, lag_2, lag_3, lag_7, lag_8, lag_9",6.0,193709.09303423102,176104.79528117474,59.90772300291744,-176104.79528117474,176104.79528117474,1.1350690258549148e-10,3.216739155744252e-11,193709.09303423102,176104.79528117474,,,1.1350690258549148e-10,3.216739155744252e-11
2,sarima,"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 0)}",0.04049785037029154,0.029648777571584094,100.0,0.0020209210416137885,0.0020209210416137885,6933.849602129962,5414.245026262616,2.9741502853620334,-2281.997918571142,2281.997918571142,0.041527662970813756,0.02765527885097079,100.0,0.0009816814398380558,0.0009816814398380558,-166.66801474721967,-166.63063156964958,statistical,,,,,,,,,,,,,,,,6933.849602129962,2281.997918571142
3,lstm,"{'hidden_size': 8, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",0.015986480855374276,0.0134540964128252,1.3082626008002116,0.013362049771226148,0.013362049771226148,41396.8175688942,33818.63406996269,16.79269093102563,33665.77938854018,33665.77938854018,0.009391615185521694,0.0066250959667405905,0.6244008377005563,0.0066250959667405905,0.0066250959667405905,,,neural,6.0,,,,33649.26376660774,23138.377471449086,8.007480422512002,23138.377471449086,23138.377471449086,41396.8175688942,33665.77938854018,33649.26376660774,23138.377471449086,107.0,1.3260073501442093e-05,41396.8175688942,33665.77938854018
