model,lookback,best_params,best_epoch,best_val_loss,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_val,rank_abs_mbe_val,rank_rmse_test,rank_abs_mbe_test
mlp,4,"{'hidden_size': 8, 'activation': 'relu', 'dropout': 0.1, 'batch_size': 8, 'learning_rate': 0.001, 'weight_decay': 0.0}",196,0.020391182973980904,0.12820656949579265,0.1032377824033952,47.202329400461586,-0.022608121201571754,0.022608121201571754,4563.511175292998,3945.740800493945,1.5958843368323805,-3458.185933096737,3458.185933096737,0.40351862112212655,0.2921189524097213,39.37536271952067,0.2741160696126825,0.2741160696126825,53282.10997958323,38654.45005205735,12.764643489800157,38536.52591493294,38536.52591493294,4563.511175292998,3458.185933096737,53282.10997958323,38536.52591493294
lstm,6,"{'hidden_size': 16, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 8, 'learning_rate': 0.001, 'weight_decay': 0.0}",96,0.015101448632776737,0.3753496018042297,0.30535686919357635,116.06112514485878,0.0950751689919065,0.0950751689919065,17965.69176486078,15413.974829917235,6.145652326361509,-4368.708766162129,4368.708766162129,0.5668483022889753,0.4329505532223298,69.4597735284194,0.3111980631558673,0.3111980631558673,67199.35420045175,50300.48403365215,16.599330347686468,38681.82651127513,38681.82651127513,17965.69176486078,4368.708766162129,67199.35420045175,38681.82651127513
