global_rank,model,best_params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,aic,aicc,family,lookback,feature_selection,selected_features,n_selected_features,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_val,rank_abs_mbe_val,rank_rmse_test,rank_abs_mbe_test,overfitting_gap,composite_score,best_epoch,best_val_loss,rank_rmse_val_global,rank_abs_mbe_val_global
1,sarima,"{'order': (1, 0, 2), 'seasonal_order': (0, 0, 0, 0)}",0.027189774779929458,0.019989088384712233,194.9614115767183,0.001035601686532686,0.001035601686532686,6301.982527315527,5327.089364552291,2.9093045138274856,-1038.596485364839,1038.596485364839,0.031036239133193897,0.023201134479507245,253.58314634952302,0.002132834335309405,0.002132834335309405,-207.22690081463185,-206.84594843367947,statistical,,,,,,,,,,,,,,,,,,6301.982527315527,1038.596485364839
2,random_forest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.01779371326457414,0.015033815067177329,113.09052085213334,0.0017003118846128176,0.0017003118846128176,6579.013933409208,5025.791259435968,2.6701762892829004,4861.089439131803,4861.089439131803,0.03316279075800685,0.023432923200715224,347.3522808444095,0.006432252469365629,0.006432252469365629,,,ml,12.0,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6.0,25658.149474110407,22438.8673420946,7.790453525512102,-15827.138175252889,15827.138175252889,6579.013933409208,4861.089439131803,25658.149474110407,15827.138175252889,19079.135540701198,6579.013933409208,,,6579.013933409208,4861.089439131803
3,lstm,"{'hidden_size': 8, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",0.015986480855374276,0.0134540964128252,1.3082626008002116,0.013362049771226148,0.013362049771226148,41396.8175688942,33818.63406996269,16.79269093102563,33665.77938854018,33665.77938854018,0.009391615185521694,0.0066250959667405905,0.6244008377005563,0.0066250959667405905,0.0066250959667405905,,,neural,6.0,,,,33649.26376660774,23138.377471449086,8.007480422512002,23138.377471449086,23138.377471449086,41396.8175688942,33665.77938854018,33649.26376660774,23138.377471449086,,,107.0,1.3260073501442093e-05,41396.8175688942,33665.77938854018
