split,timestamp,actual,decision_tree_pred,random_forest_pred,gradient_boosting_pred
validation,1974,11.911070513360594,11.911070513360594,11.90978600907756,11.906287709971211
validation,1975,11.900457397268367,11.900457397268367,11.925310847083162,11.904892404230738
validation,1976,12.004880147285961,12.004880147285961,11.996199923307717,12.004832941583825
validation,1977,12.02302682652165,12.02302682652165,12.027096500204568,12.022883013926068
validation,1978,12.072781224110258,12.072781224110258,12.0697439775648,12.07265535702088
validation,1979,12.107715327913304,12.107715327913304,12.110779775697576,12.107518359524764
validation,1980,12.132113893011878,12.132113893011878,12.1226165855258,12.1279636133464
validation,1981,12.10987557255234,12.10987557255234,12.116896158003463,12.108701936865042
validation,1982,12.125106595040164,12.125106595040164,12.120022232658135,12.122944200743316
validation,1983,12.11659094708018,12.11659094708018,12.123979574234284,12.1187170596824
validation,1984,12.115436525270729,12.115436525270729,12.12482625732811,12.11903004897417
validation,1985,12.132108509185432,12.132108509185432,12.14040210690208,12.13048483523892
validation,1986,12.166973125032765,12.166973125032765,12.184652409958588,12.166816638646313
validation,1987,12.212914188710526,12.212914188710526,12.21547406597076,12.203915733666943
validation,1988,12.223725905767491,12.223725905767491,12.239520699560266,12.21578070521372
validation,1989,12.258432620811327,12.258432620811327,12.27352126506938,12.252355135618279
validation,1990,12.287154812778372,12.287154812778372,12.299176637761077,12.29135135717215
validation,1991,12.310621832149588,12.310621832149588,12.307302349774318,12.290591402551488
validation,1992,12.329369341873512,12.329369341873512,12.312871875196377,12.326470377750718
validation,1993,12.313980414182694,12.313980414182694,12.317698386805215,12.314768424967122
test,1994,12.353651779974394,12.313980414182694,12.311629750855747,12.314622064074323
test,1995,12.394546074031489,12.313980414182694,12.313573639804044,12.326924334381365
test,1997,12.435051140402898,12.313980414182694,12.313573639804044,12.326795572916684
test,1998,12.467617343475522,12.313980414182694,12.313573639804044,12.326795572916684
test,1999,12.489965046238371,12.313980414182694,12.313573639804044,12.326795572916684
test,2000,12.530436152201297,12.313980414182694,12.313573639804044,12.326795572916684
test,2001,12.538952723783165,12.313980414182694,12.313573639804044,12.326795572916684
test,2002,12.558144009235301,12.313980414182694,12.313573639804044,12.326795572916684
test,2003,12.590879160107564,12.313980414182694,12.313573639804044,12.326795572916684
test,2004,12.62255022648956,12.313980414182694,12.313573639804044,12.326795572916684
test,2005,12.623706743558474,12.313980414182694,12.313573639804044,12.326795572916684
test,2006,12.657438031821096,12.313980414182694,12.313573639804044,12.326795572916684
test,2007,12.656794699208698,12.313980414182694,12.313573639804044,12.326795572916684
test,2008,12.673356955777146,12.313980414182694,12.313573639804044,12.326795572916684
test,2009,12.5867087150757,12.313980414182694,12.313573639804044,12.326795572916684
test,2010,12.61839088387264,12.313980414182694,12.313573639804044,12.326795572916684
test,2011,12.620071239656577,12.313980414182694,12.313573639804044,12.326795572916684
test,2012,12.609121503522392,12.313980414182694,12.313573639804044,12.326795572916684
test,2013,12.576960111395962,12.313980414182694,12.313573639804044,12.326795572916684
test,2014,12.541937554908383,12.313980414182694,12.313573639804044,12.326795572916684
