model,lookback,feature_selection,selected_features,n_selected_features,params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rank_rmse_val,rank_abs_mbe_val
decision_tree,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.2820023086460378,0.2546548447346068,2.087407895506067,-0.2546548447346068,0.2546548447346068,49059.52032276722,43569.20000000011,21.904859122696525,-43569.20000000011,43569.20000000011,49059.52032276722,43569.20000000011
decision_tree,8,importance,"lag_3, lag_1, lag_2, lag_6, lag_5, lag_8",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.2820023086460378,0.2546548447346068,2.087407895506067,-0.2546548447346068,0.2546548447346068,49059.52032276722,43569.20000000011,21.904859122696525,-43569.20000000011,43569.20000000011,49059.52032276722,43569.20000000011
decision_tree,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.2820023086460378,0.2546548447346068,2.087407895506067,-0.2546548447346068,0.2546548447346068,49059.52032276722,43569.20000000011,21.904859122696525,-43569.20000000011,43569.20000000011,49059.52032276722,43569.20000000011
decision_tree,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'max_depth': 5, 'min_samples_leaf': 1, 'random_state': 42}",0.35158512125784686,0.33005436727152454,2.7084143077798477,-0.33005436727152454,0.33005436727152454,58646.953267902674,54137.82210199777,27.576721242396435,-54137.82210199777,54137.82210199777,58646.953267902674,54137.82210199777
decision_tree,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 42}",0.35158512125784686,0.33005436727152454,2.7084143077798477,-0.33005436727152454,0.33005436727152454,58646.953267902674,54137.82210199777,27.576721242396435,-54137.82210199777,54137.82210199777,58646.953267902674,54137.82210199777
decision_tree,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.35158512125784686,0.33005436727152454,2.7084143077798477,-0.33005436727152454,0.33005436727152454,58646.953267902674,54137.82210199777,27.576721242396435,-54137.82210199777,54137.82210199777,58646.953267902674,54137.82210199777
decision_tree,8,importance,"lag_3, lag_1, lag_2, lag_6, lag_5, lag_8",6,"{'max_depth': 5, 'min_samples_leaf': 1, 'random_state': 42}",0.35158512125784686,0.33005436727152454,2.7084143077798477,-0.33005436727152454,0.33005436727152454,58646.953267902674,54137.82210199777,27.576721242396435,-54137.82210199777,54137.82210199777,58646.953267902674,54137.82210199777
decision_tree,8,importance,"lag_3, lag_1, lag_2, lag_6, lag_5, lag_8",6,"{'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 42}",0.35158512125784686,0.33005436727152454,2.7084143077798477,-0.33005436727152454,0.33005436727152454,58646.953267902674,54137.82210199777,27.576721242396435,-54137.82210199777,54137.82210199777,58646.953267902674,54137.82210199777
decision_tree,8,importance,"lag_3, lag_1, lag_2, lag_6, lag_5, lag_8",6,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.35158512125784686,0.33005436727152454,2.7084143077798477,-0.33005436727152454,0.33005436727152454,58646.953267902674,54137.82210199777,27.576721242396435,-54137.82210199777,54137.82210199777,58646.953267902674,54137.82210199777
decision_tree,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'max_depth': 5, 'min_samples_leaf': 1, 'random_state': 42}",0.35158512125784686,0.33005436727152454,2.7084143077798477,-0.33005436727152454,0.33005436727152454,58646.953267902674,54137.82210199777,27.576721242396435,-54137.82210199777,54137.82210199777,58646.953267902674,54137.82210199777
