model,lookback,feature_selection,selected_features,n_selected_features,params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rank_rmse_val,rank_abs_mbe_val
decision_tree,12,importance,"lag_1, lag_2, lag_3, lag_7, lag_8, lag_9",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.042064674122268046,0.0339431047153113,132.03523003748953,0.00154938011598027,0.00154938011598027,35547.82467414917,29589.974875293825,14.569206592428726,-29243.242523441833,29243.242523441833,35547.82467414917,29243.242523441833
decision_tree,6,importance,"lag_1, lag_5, lag_3, lag_2, lag_4, lag_6",6,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.04360225775027103,0.03390339173205522,188.3103388966709,-0.011879118546255398,0.011879118546255398,105088.21076102319,83918.72008803442,40.92879753828338,-83464.02361234152,83464.02361234152,105088.21076102319,83464.02361234152
decision_tree,12,importance,"lag_1, lag_2, lag_3, lag_7, lag_8, lag_9",6,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.12460550520547692,0.09019290617720947,930.3931599388202,0.01124567765990179,0.01124567765990179,118212.50028131962,67019.09848192353,31.157640012352612,57833.83287256949,57833.83287256949,118212.50028131962,57833.83287256949
decision_tree,6,importance,"lag_1, lag_5, lag_3, lag_2, lag_4, lag_6",6,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.04534782897716306,0.033598659354797576,167.71085732113053,-0.020504483172807453,0.020504483172807453,144579.91675349142,125846.76439830472,62.580114359566565,-125673.71555819012,125673.71555819012,144579.91675349142,125673.71555819012
decision_tree,6,importance,"lag_1, lag_5, lag_3, lag_2, lag_4, lag_6",6,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.04534782897716306,0.033598659354797576,167.71085732113053,-0.020504483172807453,0.020504483172807453,144579.91675349142,125846.76439830472,62.580114359566565,-125673.71555819012,125673.71555819012,144579.91675349142,125673.71555819012
decision_tree,6,importance,"lag_1, lag_5, lag_3, lag_2, lag_4, lag_6",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.15062944805831793,0.11751688673453171,986.2044114500725,-0.00509958363119106,0.00509958363119106,146714.37931413544,129483.82491431027,64.70042332678405,-129064.12633108706,129064.12633108706,146714.37931413544,129064.12633108706
decision_tree,12,importance,"lag_1, lag_2, lag_3, lag_7, lag_8, lag_9",6,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.05209978411590705,0.03951922381747616,239.14485188732607,-0.03283893637385406,0.03283893637385406,157979.35128284074,141254.49416455659,70.78019959540318,-141254.49416455659,141254.49416455659,157979.35128284074,141254.49416455659
decision_tree,12,importance,"lag_1, lag_2, lag_3, lag_7, lag_8, lag_9",6,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.05209978411590705,0.03951922381747616,239.14485188732607,-0.03283893637385406,0.03283893637385406,157979.35128284074,141254.49416455659,70.78019959540318,-141254.49416455659,141254.49416455659,157979.35128284074,141254.49416455659
gradient_boosting,6,importance,"lag_1, lag_5, lag_3, lag_2, lag_4, lag_6",6,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",0.039763328877681026,0.03427829221672823,200.89841515308723,0.001882412840726015,0.001882412840726015,21713.14010078078,18093.403855850902,9.326333286326344,17700.385812344448,17700.385812344448,21713.14010078078,17700.385812344448
gradient_boosting,6,importance,"lag_1, lag_5, lag_3, lag_2, lag_4, lag_6",6,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2, 'random_state': 42}",0.045051534835045884,0.03408020231427447,155.52668506254585,0.0010085523529618627,0.0010085523529618627,41637.75709763737,36856.19158161211,18.659310645099254,36308.58449599725,36308.58449599725,41637.75709763737,36308.58449599725
