model,lookback,feature_selection,selected_features,n_selected_features,best_params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_test,rank_abs_mbe_test
gradient_boosting,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 42}",0.00016101268753946485,0.00012246765262400317,0.0010127748766509902,1.735739599872943e-06,1.735739599872943e-06,28.18002968407945,22.06244353247166,0.01224679237880274,0.008393350936239585,0.008393350936239585,0.2476418153889187,0.23231199486909465,1.8453416028747873,-0.23231199486909465,0.23231199486909465,64470.1379291454,59960.29264612308,20.431637899948164,-59960.29264612308,59960.29264612308,64470.1379291454,59960.29264612308
xgboost,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'n_estimators': 600, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': 1}",0.03210986407131565,0.02445453811527267,0.20008374916722713,-0.022871204940669097,0.022871204940669097,6558.131924487654,4887.638148902076,2.3950605574368447,-4610.368014429208,4610.368014429208,0.24915309885176037,0.23376153929798865,1.856860266559344,-0.23376153929798865,0.23376153929798865,64808.36157760467,60286.979260286105,20.54366170024037,-60286.979260286105,60286.979260286105,64808.36157760467,60286.979260286105
decision_tree,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.0,0.0,0.0,0.0,0.0,1.1234229352336134e-10,9.895302355289459e-11,5.3158355800419923e-14,-3.492459654808044e-11,3.492459654808044e-11,0.2584379185513553,0.2433335905541371,1.9330430833178374,-0.2433335905541371,0.2433335905541371,66870.9791662273,62430.05000000005,21.294365425391195,-62430.05000000005,62430.05000000005,66870.9791662273,62430.05000000005
random_forest,8,importance,"lag_3, lag_1, lag_2, lag_6, lag_5, lag_8",6,"{'n_estimators': 400, 'max_depth': 8, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.009592826213169628,0.0072388124237165565,0.05973746575044971,0.00025133000137094185,0.00025133000137094185,1710.7389248193624,1342.075366359888,0.7247364510089599,-46.827080620187914,46.827080620187914,0.26376737505696596,0.24898655925823315,1.978062599324006,-0.24898655925823315,0.24898655925823315,68044.93100642464,63685.91621403897,21.738032711406344,-63685.91621403897,63685.91621403897,68044.93100642464,63685.91621403897
