model,lookback,feature_selection,selected_features,n_selected_features,best_params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_test,rank_abs_mbe_test
gradient_boosting,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",0.005894417223645519,0.0037826430052568583,0.03101614270210326,-0.0022687231606331793,0.0022687231606331793,1236.2984007880164,752.5815936952073,0.3768139254295221,-473.63496820822184,473.63496820822184,0.24648914878528505,0.2311206691890318,1.8358599530984363,-0.2311206691890318,0.2311206691890318,64212.22220241058,59691.67067467541,20.337539124405136,-59691.67067467541,59691.67067467541,64212.22220241058,59691.67067467541
decision_tree,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.0,0.0,0.0,0.0,0.0,1.1234229352336134e-10,9.895302355289459e-11,5.3158355800419923e-14,-3.492459654808044e-11,3.492459654808044e-11,0.2584379185513553,0.2433335905541371,1.9330430833178374,-0.2433335905541371,0.2433335905541371,66870.9791662273,62430.05000000005,21.294365425391195,-62430.05000000005,62430.05000000005,66870.9791662273,62430.05000000005
random_forest,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.01082712972277651,0.008917155261530052,0.07343273854828368,0.004177095888805216,0.004177095888805216,2052.4264506255413,1697.908075877295,0.8951865851107398,771.4798680286433,771.4798680286433,0.25883637037971197,0.24383755938020196,1.9370693491085,-0.24383755938020196,0.24383755938020196,66958.58710195798,62542.2804507535,21.335703074692763,-62542.2804507535,62542.2804507535,66958.58710195798,62542.2804507535
