model,lookback,feature_selection,selected_features,n_selected_features,params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rank_rmse_val,rank_abs_mbe_val
decision_tree,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.2820023086460378,0.2546548447346068,2.087407895506067,-0.2546548447346068,0.2546548447346068,49059.52032276722,43569.20000000011,21.904859122696525,-43569.20000000011,43569.20000000011,49059.52032276722,43569.20000000011
decision_tree,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.35158512125784686,0.33005436727152454,2.7084143077798477,-0.33005436727152454,0.33005436727152454,58646.953267902674,54137.82210199777,27.576721242396435,-54137.82210199777,54137.82210199777,58646.953267902674,54137.82210199777
decision_tree,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.35158512125784686,0.33005436727152454,2.7084143077798477,-0.33005436727152454,0.33005436727152454,58646.953267902674,54137.82210199777,27.576721242396435,-54137.82210199777,54137.82210199777,58646.953267902674,54137.82210199777
decision_tree,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.6545278206390158,0.6432188242391319,5.287702999931702,-0.6432188242391319,0.6432188242391319,93191.71113842163,90421.9756433524,47.04933688050169,-90421.9756433524,90421.9756433524,93191.71113842163,90421.9756433524
decision_tree,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.6545278206390158,0.6432188242391319,5.287702999931702,-0.6432188242391319,0.6432188242391319,93191.71113842163,90421.9756433524,47.04933688050169,-90421.9756433524,90421.9756433524,93191.71113842163,90421.9756433524
decision_tree,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.6545278206390158,0.6432188242391319,5.287702999931702,-0.6432188242391319,0.6432188242391319,93191.71113842163,90421.9756433524,47.04933688050169,-90421.9756433524,90421.9756433524,93191.71113842163,90421.9756433524
decision_tree,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.6545278206390158,0.6432188242391319,5.287702999931702,-0.6432188242391319,0.6432188242391319,93191.71113842163,90421.9756433524,47.04933688050169,-90421.9756433524,90421.9756433524,93191.71113842163,90421.9756433524
gradient_boosting,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",0.2827956366967658,0.25553308983347084,2.094641307861902,-0.25553308983347084,0.25553308983347084,49173.004477680566,43696.94524451329,21.973416159397562,-43696.94524451329,43696.94524451329,49173.004477680566,43696.94524451329
gradient_boosting,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",0.28284655014424415,0.25558943404141726,2.0951053706736,-0.25558943404141726,0.25558943404141726,49180.28408949785,43705.13696882457,21.977812411848234,-43705.13696882457,43705.13696882457,49180.28408949785,43705.13696882457
gradient_boosting,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2, 'random_state': 42}",0.28697138641643993,0.26014681333217443,2.1326409102566024,-0.26014681333217443,0.26014681333217443,49768.67112571254,44366.19523870999,22.33258253454652,-44366.19523870999,44366.19523870999,49768.67112571254,44366.19523870999
gradient_boosting,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2, 'random_state': 42}",0.28746185263051505,0.2606877530358484,2.1370962040480257,-0.2606877530358484,0.2606877530358484,49838.452680978204,44444.459946928175,22.374584853256373,-44444.459946928175,44444.459946928175,49838.452680978204,44444.459946928175
random_forest,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.32010515363002284,0.2962956247493575,2.4303701654406105,-0.2962956247493575,0.2962956247493575,54398.86649384817,49504.29607777002,25.09004696415787,-49504.29607777002,49504.29607777002,54398.86649384817,49504.29607777002
random_forest,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.3222913678431331,0.29865617966368835,2.449812194899167,-0.29865617966368835,0.29865617966368835,54698.53193663122,49833.40295788222,25.266668744047998,-49833.40295788222,49833.40295788222,54698.53193663122,49833.40295788222
random_forest,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'n_estimators': 200, 'max_depth': 6, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.3234246626601647,0.2998788093246218,2.459882031334856,-0.2998788093246218,0.2998788093246218,54853.59564146155,50003.55596492083,25.357984753444622,-50003.55596492083,50003.55596492083,54853.59564146155,50003.55596492083
random_forest,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'n_estimators': 200, 'max_depth': 6, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.3286141135539378,0.3054685310992801,2.505920161923675,-0.3054685310992801,0.3054685310992801,55561.23726621383,50778.83162197126,25.774051918029738,-50778.83162197126,50778.83162197126,55561.23726621383,50778.83162197126
