series,model,val_mae,val_rmse,val_mape,test_mae,test_rmse,test_mape
demographic,SARIMA,23.73967942991256,27.468200327650482,0.3674891692256483,41.753306279409195,61.82528277087007,0.6390152332611938
demographic,XGBoost,54.440112304687396,69.63113518630018,0.8401482171659089,54.494889322916684,67.23043005445875,0.8332555348248039
demographic,MLP,27.622593572011358,34.34641665478717,0.4265277427143306,83.26465463373127,100.2969066974412,1.2748340525445467
ogrin,ARMA,39.27935262579699,46.74569079546694,7.217588386865627,74.19004642928388,91.34900261663809,16.344628778027552
ogrin,MLP,31.865933779084894,40.63957371108045,5.872002331229858,79.18891374352663,96.82548613873422,16.958019070027394
ogrin,XGBoost,38.81370951334635,46.468987588611625,6.778490183732994,86.7056770324707,106.0702334798783,19.045667652364486
