model,lookback,feature_selection,selected_features,n_selected_features,best_params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_val,rank_abs_mbe_val,rank_rmse_test,rank_abs_mbe_test,overfitting_gap,composite_score
gradient_boosting,3,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 2, 'random_state': 42}",0.010811884252951908,0.008688902923630016,77.3160800251266,0.0014968242351479923,0.0014968242351479923,4731.777268657059,4254.931865880848,1.7235758593837387,3111.196639652781,3111.196639652781,0.039144012096515524,0.028655966867768008,1000.589070599823,0.02561715164434094,0.02561715164434094,53449.22359736039,37320.68082328766,12.351307024701017,36248.666262325205,36248.666262325205,4731.777268657059,3111.196639652781,53449.22359736039,36248.666262325205,48717.44632870333,29090.500433008725
random_forest,4,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.011330497031379925,0.009275603305960027,81.62550798342674,0.0018664133871043565,0.0018664133871043565,4910.4079495338065,4549.420873780186,1.839896059991684,2835.373850282597,2835.373850282597,0.039925060438768575,0.029257679482949602,1042.913035791567,0.028996120267814916,0.028996120267814916,64760.23912567263,48289.86831973361,15.925599818780162,48289.86831973361,48289.86831973361,4910.4079495338065,2835.373850282597,64760.23912567263,48289.86831973361,59849.831176138825,34835.32353760322
decision_tree,4,importance,"lag_1, lag_2, lag_3",3,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.012333663928888716,0.009864575987612834,92.06293366524041,0.005604650814998423,0.005604650814998423,12352.727435512386,10566.388587624891,4.131172858960753,9948.38993512895,9948.38993512895,0.04238902367647718,0.03275416745673014,1152.8076922683215,0.03275416745673014,0.03275416745673014,76998.6737708943,59682.03747584218,19.657141830754966,59682.03747584218,59682.03747584218,12352.727435512386,9948.38993512895,76998.6737708943,59682.03747584218,64645.94633538191,44675.70060320334
