model,lookback,feature_selection,selected_features,n_selected_features,params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,cv_rmse_train,rank_rmse_val_single,rank_rmse_val,rank_abs_mbe_val
decision_tree,4,importance,"lag_1, lag_2, lag_3",3,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.013766344560454972,0.01119778805683779,103.18533162636253,0.008294883206197664,0.008294883206197664,17880.648344175625,15065.419317023616,5.8576870082015775,14736.429765283794,14736.429765283794,0.09077550268764127,17880.648344175625,0.09077550268764127,14736.429765283794
decision_tree,3,importance,"lag_1, lag_2, lag_3",3,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.013766344560454972,0.01119778805683779,103.18533162636253,0.008294883206197664,0.008294883206197664,17880.648344175625,15065.419317023616,5.8576870082015775,14736.429765283794,14736.429765283794,0.09082526816369696,17880.648344175625,0.09082526816369696,14736.429765283794
decision_tree,2,importance,"lag_1, lag_2",2,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.015060307823799595,0.012200727910361637,111.50423089461705,0.010300762913245365,0.010300762913245365,22132.35925408619,18517.64014781595,7.183846600986958,18379.575545890035,18379.575545890035,0.09086767156701862,22132.35925408619,0.09086767156701862,18379.575545890035
decision_tree,2,importance,"lag_1, lag_2",2,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.015060307823799595,0.012200727910361637,111.50423089461705,0.010300762913245365,0.010300762913245365,22132.35925408619,18517.64014781595,7.183846600986958,18379.575545890035,18379.575545890035,0.09478923623341523,22132.35925408619,0.09478923623341523,18379.575545890035
decision_tree,3,importance,"lag_1, lag_2, lag_3",3,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.03162951861569167,0.029660062250569833,210.04069333167502,0.029660062250569833,0.029660062250569833,68113.33642492433,57010.933799310085,22.080058346992935,57010.933799310085,57010.933799310085,0.09588550245228872,68113.33642492433,0.09588550245228872,57010.933799310085
decision_tree,4,importance,"lag_1, lag_2, lag_3",3,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.030904804239077117,0.028885978776959777,205.92422156247926,0.028885978776959777,0.028885978776959777,66097.64458055297,55337.32647554702,21.433241260325175,55337.32647554702,55337.32647554702,0.09646949145862438,66097.64458055297,0.09646949145862438,55337.32647554702
decision_tree,2,importance,"lag_1, lag_2",2,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.052693128804304275,0.04229397567227681,192.2863783452192,-0.013438774309220433,0.013438774309220433,21433.197855940016,18781.812309426405,7.725517448907561,-16418.834260720298,16418.834260720298,0.11453678868314832,21433.197855940016,0.11453678868314832,16418.834260720298
decision_tree,3,importance,"lag_1, lag_2, lag_3",3,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.015950967277387686,0.012832348743854046,116.74321912615748,0.011564004580230177,0.011564004580230177,24860.805703105045,20800.301354331663,8.066056096498476,20706.58235028618,20706.58235028618,0.13119037034420922,24860.805703105045,0.13119037034420922,20706.58235028618
decision_tree,4,importance,"lag_1, lag_2, lag_3",3,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.015950967277387686,0.012832348743854046,116.74321912615748,0.011564004580230177,0.011564004580230177,24860.805703105045,20800.301354331663,8.066056096498476,20706.58235028618,20706.58235028618,0.13132213541942372,24860.805703105045,0.13132213541942372,20706.58235028618
decision_tree,2,importance,"lag_1, lag_2",2,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.03197662918589774,0.027931122570479843,185.9851071024001,-0.01395803384477127,0.01395803384477127,25361.79549670055,23774.042706519118,9.571503389533548,-23774.042706519118,23774.042706519118,0.1422199277466303,25361.79549670055,0.1422199277466303,23774.042706519118
