split,timestamp,actual,decision_tree_pred,random_forest_pred,gradient_boosting_pred
validation,1989,0.042870129045263994,0.02716649504635301,0.039027357067852105,0.038250692188830836
validation,1990,0.03431773147135786,0.02716649504635301,0.033175931106407805,0.034427787162896885
validation,1991,0.022242682573246242,0.02716649504635301,0.025361792104857988,0.01648015085557935
validation,1992,0.01943691914036272,0.02716649504635301,0.022318275214885563,0.015185534716067803
validation,1993,0.003930705671100654,0.02716649504635301,0.016385747117407992,0.021308029590937055
validation,1994,0.03262394370592503,0.02716649504635301,0.02576522215092793,0.020064595991325592
validation,1995,0.02880340480412613,0.02716649504635301,0.034050526549189115,0.02825520132037815
validation,1997,0.04131076412440926,0.02716649504635301,0.033408178144874456,0.03382821185533423
validation,1998,0.02773825271053809,0.02716649504635301,0.03284592776456672,0.033499729105023295
validation,1999,0.02452333197180323,0.02716649504635301,0.03274173275121262,0.033499729105023295
validation,2000,0.04404615324709482,0.02716649504635301,0.030224538962440404,0.033499729105023295
validation,2001,0.021855852312109292,0.02716649504635301,0.029770812241559367,0.026480911145588804
test,2002,0.01897172716467921,0.02716649504635301,0.03147594380957918,0.0325335957158227
test,2003,0.02989299197043671,0.02716649504635301,0.03357716916088989,0.027926718570067215
test,2004,0.015559300521092112,0.02716649504635301,0.024504033278754323,0.01648015085557935
test,2005,0.017343498233303833,0.02716649504635301,0.034058261440747785,0.0325335957158227
test,2006,0.024599870917354494,0.02716649504635301,0.030946311266989324,0.02090790061063274
test,2007,0.004461992546417548,0.02716649504635301,0.03055082572404265,0.03382821185533423
test,2008,0.0002633261874294135,0.02716649504635301,0.03352956259464174,0.033499729105023295
test,2009,-0.06180778249852281,0.02716649504635301,0.028864958458302156,0.026480911145588804
test,2010,0.032702052461178965,0.02716649504635301,0.03204882118296127,0.03382821185533423
test,2011,0.012529044938021983,0.02716649504635301,0.03228094715551124,0.026480911145588804
test,2012,-0.0211661745359617,0.02716649504635301,0.02974623340065582,0.026480911145588804
test,2013,-0.03286262865621303,0.02716649504635301,0.033483077349311,0.03382821185533423
test,2014,-0.021089408916280306,0.02716649504635301,0.03003341125931042,0.026480911145588804
