trend,seasonal,damped_trend,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,aic,aicc,rank_rmse_val,rank_abs_mbe_val
add,None,True,0.04047330781995442,0.029558326108679454,98.64850298292268,0.0014480617860107314,0.0014480617860107314,12451.241397287415,10881.282236548968,5.537832603473673,-10360.169515863397,10360.169515863397,-371.6060640136258,-370.24021035508923,12451.241397287415,10360.169515863397
None,None,False,0.040508745044547,0.02897780041034863,89.97447202808455,-0.0022286009795441267,0.0022286009795441267,63076.69008714856,51310.13600222307,25.129151522927124,-50847.85180550035,50847.85180550035,-376.8492119309357,-376.3786236956416,63076.69008714856,50847.85180550035
add,None,False,0.04084820570453843,0.030222014106741125,109.57437782921443,0.005197238998547282,0.005197238998547282,66376.9201779756,46443.363327686624,22.22504727104486,42691.76130815656,42691.76130815656,-372.926888912907,-371.9148407201359,66376.9201779756,42691.76130815656
