model,RMSE_val(GWh),MAE_val(GWh),MAPE_val(%),|MBE|_val(GWh),RMSE_test(GWh),MAE_test(GWh),MAPE_test(%),|MBE|_test(GWh)
sarima,6933.8,5414.2,3.0,2282.0,66871.0,62430.1,21.3,62430.1
holt_winters,12451.2,10881.3,5.5,10360.2,68999.6,64402.3,22.0,64402.3
sarima,6933.8,5414.2,3.0,2282.0,66871.0,62430.1,21.3,62430.1
holt_winters,12451.2,10881.3,5.5,10360.2,68999.6,64402.3,22.0,64402.3
