model,best_params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,aic,aicc,experiment,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_val,rank_rmse_test,rank_mae_val,rank_mae_test,rank_mape_val,rank_mape_test,ranking_scale,gap_rmse_ratio,gap_mae_ratio,gap_mape_ratio,stability_penalty,robust_score
sarima,"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 0)}",0.0404978503702915,0.029648777571584,100.0,0.0020209210416137,0.0020209210416137,6933.849602129962,5414.245026262616,2.9741502853620334,-2281.997918571142,2281.997918571142,0.0415276629708137,0.0276552788509707,100.0,0.000981681439838,0.000981681439838,-166.66801474721967,-166.63063156964958,baseline,66870.9791662273,62430.05000000005,21.294365425391195,-62430.05000000005,62430.05000000005,6933.849602129962,66870.9791662273,5414.245026262616,62430.05000000005,2.9741502853620334,21.294365425391195,original,9.644134644294228,11.530702747506554,7.1598148655084195,8.644134644294228,269185.5908642594
holt_winters,"{'trend': 'add', 'seasonal': None, 'damped_trend': True}",0.0404733078199544,0.0295583261086794,98.64850298292268,0.0014480617860107,0.0014480617860107,12451.241397287416,10881.282236548968,5.537832603473673,-10360.169515863396,10360.169515863396,0.0415162734893149,0.027531556207895,98.26552068227024,0.0001336826927957,0.0001336826927957,-470.4600872637537,-469.3511763726646,baseline,68999.63851616024,64402.31515662159,21.965487234158342,-64402.31515662159,64402.31515662159,12451.241397287416,68999.63851616024,10881.282236548968,64402.31515662159,5.537832603473673,21.965487234158342,original,5.541587084737772,5.9186329107705395,3.966441170572802,4.541587084737772,178678.39201395912
sarima,"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 0)}",0.0404978503702915,0.029648777571584,100.0,0.0020209210416137,0.0020209210416137,6933.849602129962,5414.245026262616,2.9741502853620334,-2281.997918571142,2281.997918571142,0.0415276629708137,0.0276552788509707,100.0,0.000981681439838,0.000981681439838,-166.66801474721967,-166.63063156964958,extended,66870.9791662273,62430.05000000005,21.294365425391195,-62430.05000000005,62430.05000000005,6933.849602129962,66870.9791662273,5414.245026262616,62430.05000000005,2.9741502853620334,21.294365425391195,original,9.644134644294228,11.530702747506554,7.1598148655084195,8.644134644294228,269185.5908642594
holt_winters,"{'trend': 'add', 'seasonal': None, 'damped_trend': True}",0.0404733078199544,0.0295583261086794,98.64850298292268,0.0014480617860107,0.0014480617860107,12451.241397287416,10881.282236548968,5.537832603473673,-10360.169515863396,10360.169515863396,0.0415162734893149,0.027531556207895,98.26552068227024,0.0001336826927957,0.0001336826927957,-470.4600872637537,-469.3511763726646,extended,68999.63851616024,64402.31515662159,21.965487234158342,-64402.31515662159,64402.31515662159,12451.241397287416,68999.63851616024,10881.282236548968,64402.31515662159,5.537832603473673,21.965487234158342,original,5.541587084737772,5.9186329107705395,3.966441170572802,4.541587084737772,178678.39201395912
