experiment,model,ranking_scale,best_params,rank_rmse_val,rank_rmse_test,rank_mae_test,rank_mape_test,gap_rmse_ratio,gap_mae_ratio,gap_mape_ratio,stability_penalty,robust_score
baseline,holt_winters,original,"{'trend': 'add', 'seasonal': None, 'damped_trend': True}",12451.241397287416,68999.63851616024,64402.31515662159,21.965487234158342,5.541587084737772,5.9186329107705395,3.966441170572802,4.541587084737772,178678.39201395912
extended,holt_winters,original,"{'trend': 'add', 'seasonal': None, 'damped_trend': True}",12451.241397287416,68999.63851616024,64402.31515662159,21.965487234158342,5.541587084737772,5.9186329107705395,3.966441170572802,4.541587084737772,178678.39201395912
baseline,sarima,original,"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 0)}",6933.849602129962,66870.9791662273,62430.05000000005,21.294365425391195,9.644134644294228,11.530702747506554,7.1598148655084195,8.644134644294228,269185.5908642594
extended,sarima,original,"{'order': (0, 0, 0), 'seasonal_order': (0, 0, 0, 0)}",6933.849602129962,66870.9791662273,62430.05000000005,21.294365425391195,9.644134644294228,11.530702747506554,7.1598148655084195,8.644134644294228,269185.5908642594
