split,timestamp,actual,sarima_pred
validation,1975,-0.010613116092226704,0.02427433154721989
validation,1976,0.10442275001759427,0.027067030481111573
validation,1977,0.018146679235687913,0.026407675334523612
validation,1978,0.04975439758860922,0.025764382134946626
validation,1979,0.03493410380304596,0.02513675961199603
validation,1980,0.024398565098573854,0.024524426026666823
validation,1981,-0.022238320459537775,0.023927008939148384
validation,1982,0.015231022487823154,0.023344144982295305
validation,1983,-0.008515647959983497,0.022775479640616502
validation,1984,-0.0011544218094510228,0.02222066703464817
validation,1985,0.016671983914703148,0.02167936971057943
validation,1986,0.034864615847332914,0.021151258435002714
validation,1987,0.04594106367776085,0.02063601199466404
validation,1988,0.010811717056965264,0.02013331700109141
validation,1989,0.0347067150438356,0.019642867699982434
validation,1990,0.028722191967045063,0.01916436578523534
validation,1991,0.02346701937121587,0.01869752021751017
validation,1992,0.018747509723924694,0.01824204704720983
validation,1993,-0.015388927690818122,0.017797669241773395
test,1994,0.03967136579169939,0.009304092016342698
test,1995,0.04089429405709488,0.017031332876063482
test,1997,0.04050506637140927,0.016614560941303723
test,1998,0.03256620307262459,0.016207987788216978
test,1999,0.022347702762848698,0.015811363843502027
test,2000,0.04047110596292569,0.01542444564113935
test,2001,0.008516571581868249,0.015046995672940489
test,2002,0.019191285452135887,0.014678782242754594
test,2003,0.032735150872262864,0.014319579324242673
test,2004,0.03167106638199613,0.013969166422132227
test,2005,0.0011565170689138426,0.013627328436867108
test,2006,0.03373128826262217,0.013293855532569525
test,2007,-0.0006433326123982397,0.012968543008233125
test,2008,0.016562256568448674,0.012651191172068102
test,2009,-0.08664824070144661,0.012341605218921192
test,2010,0.03168216879694086,0.01203959511069531
test,2011,0.001680355783935994,0.011744975459695429
test,2012,-0.010949736134184818,0.011457565414829078
test,2013,-0.03216139212642943,0.01117718855059163
test,2014,-0.03502255648757924,0.010903672758768213
