experiment,model,lookback,RMSE_val(GWh),MAE_val(GWh),MAPE_val(%),|MBE|_val(GWh),RMSE_test(GWh),MAE_test(GWh),MAPE_test(%),|MBE|_test(GWh)
step3_statistical,sarima,-,6302.0,5327.1,2.9,1038.6,30273.4,26880.3,9.2,25660.8
step3_statistical,holt_winters,-,18451.7,15528.3,8.0,15472.6,99808.3,89953.5,30.6,89953.5
step4_baseline (no XGBoost),gradient_boosting,12,51022.6,37098.4,17.8,37049.0,19894.7,18230.0,6.4,7506.2
step4_baseline (no XGBoost),random_forest,12,6579.0,5025.8,2.7,4861.1,25658.1,22438.9,7.8,15827.1
step4_extended (XGBoost on),random_forest,12,6579.0,5025.8,2.7,4861.1,25658.1,22438.9,7.8,15827.1
step4_extended (XGBoost on),gradient_boosting,12,6276.1,4794.0,2.5,4124.8,27751.1,23719.4,8.2,5172.2
step4_extended (XGBoost on),xgboost,12,17674.6,15031.4,7.6,14948.2,27912.1,24796.2,8.6,16751.2
step4_extended (XGBoost on),decision_tree,12,67196.4,53597.2,26.3,53597.2,38374.0,34479.0,11.8,34479.0
step4_baseline (no XGBoost),decision_tree,12,55433.7,43416.8,21.2,43272.1,105103.9,74214.5,25.1,74214.5
