model,best_params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,aic,aicc,experiment,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_val,rank_rmse_test,rank_mae_val,rank_mae_test,rank_mape_val,rank_mape_test,ranking_scale,gap_rmse_ratio,gap_mae_ratio,gap_mape_ratio,stability_penalty,robust_score
sarima,"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 0, 0)}",0.013002365902273,0.0102809814928893,97.81585910369591,0.007099964789044,0.007099964789044,16675.810025361377,14295.104546096773,5.589320525160871,14220.655660540278,14220.655660540278,0.0367958849691608,0.0266234928693941,921.037549541909,0.0256340323231737,0.0256340323231737,-135.2858933327667,-134.33351238038574,stat_baseline,56062.995378689964,41806.88467587253,13.790698036632227,41806.88467587253,41806.88467587253,16675.810025361377,56062.995378689964,14295.104546096773,41806.88467587253,5.589320525160871,13.790698036632227,original,3.361935359867176,2.924559561006341,2.4673299687416486,2.361935359867176,102409.00528643923
holt_winters,"{'trend': 'add', 'seasonal': None, 'damped_trend': False}",0.0197082494224462,0.016395655747185,140.0342918383614,0.0163065204756101,0.0163065204756101,36272.10846793532,30692.169630283894,11.922568225911377,30692.169630283894,30692.169630283894,0.0383498974768335,0.0289586146960277,1002.888990017978,0.0283598411048174,0.0283598411048174,-335.1905035276409,-333.83566481796345,stat_baseline,65024.535925557124,50452.72466649694,16.619393556417556,50452.72466649694,50452.72466649694,36272.10846793532,65024.535925557124,30692.169630283894,50452.72466649694,11.922568225911377,16.619393556417556,original,1.7926869617474555,1.6438305038140852,1.393944093379021,0.7926869617474555,83064.97156321097
sarima,"{'order': (2, 0, 3), 'seasonal_order': (0, 0, 0, 0)}",0.011375164835349,0.0087400138651426,81.68774105109794,0.0024056898744293,0.0024056898744293,7436.351860499556,6523.879129825208,2.603270268265612,5898.532377329194,5898.532377329194,0.0347577778648813,0.0250226784325029,820.7569550552835,0.0223708908396418,0.0223708908396418,-132.33765194035595,-130.98281323067854,stat_extended,46673.304069982725,33618.26208317509,11.109770049135617,33408.03366657808,33408.03366657808,7436.351860499556,46673.304069982725,6523.879129825208,33618.26208317509,2.603270268265612,11.109770049135617,original,6.276371121961317,5.153109279643538,4.267620686398161,5.276371121961317,132866.28988646448
holt_winters,"{'trend': 'add', 'seasonal': None, 'damped_trend': False}",0.0197082494224462,0.016395655747185,140.0342918383614,0.0163065204756101,0.0163065204756101,36272.10846793532,30692.169630283894,11.922568225911377,30692.169630283894,30692.169630283894,0.0383498974768335,0.0289586146960277,1002.888990017978,0.0283598411048174,0.0283598411048174,-335.1905035276409,-333.83566481796345,stat_extended,65024.535925557124,50452.72466649694,16.619393556417556,50452.72466649694,50452.72466649694,36272.10846793532,65024.535925557124,30692.169630283894,50452.72466649694,11.922568225911377,16.619393556417556,original,1.7926869617474555,1.6438305038140852,1.393944093379021,0.7926869617474555,83064.97156321097
