experiment,model,ranking_scale,best_params,rank_rmse_val,rank_rmse_test,rank_mae_test,rank_mape_test,gap_rmse_ratio,gap_mae_ratio,gap_mape_ratio,stability_penalty,robust_score
stat_baseline,holt_winters,original,"{'trend': 'add', 'seasonal': None, 'damped_trend': False}",36272.10846793532,65024.535925557124,50452.72466649694,16.619393556417556,1.7926869617474555,1.6438305038140852,1.393944093379021,0.7926869617474555,83064.97156321097
stat_extended,holt_winters,original,"{'trend': 'add', 'seasonal': None, 'damped_trend': False}",36272.10846793532,65024.535925557124,50452.72466649694,16.619393556417556,1.7926869617474555,1.6438305038140852,1.393944093379021,0.7926869617474555,83064.97156321097
stat_baseline,sarima,original,"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 0, 0)}",16675.810025361377,56062.995378689964,41806.88467587253,13.790698036632227,3.361935359867176,2.924559561006341,2.4673299687416486,2.361935359867176,102409.00528643923
stat_extended,sarima,original,"{'order': (2, 0, 3), 'seasonal_order': (0, 0, 0, 0)}",7436.351860499556,46673.304069982725,33618.26208317509,11.109770049135617,6.276371121961317,5.153109279643538,4.267620686398161,5.276371121961317,132866.28988646448
