split,timestamp,actual,decision_tree_pred,random_forest_pred,gradient_boosting_pred,xgboost_pred
validation,1975,-0.010613116092226704,0.05616440628114295,0.010892866857728443,-0.00786193566869651,-0.0009161036578007042
validation,1976,0.10442275001759427,0.05616440628114295,0.0773201553621241,0.0974753736175874,0.0898851826786995
validation,1977,0.018146679235687913,0.05616440628114295,0.04220336559062079,0.026488653616079202,0.04487023130059242
validation,1978,0.04975439758860922,0.01106263278735922,0.03580386006022894,0.043471973438346655,0.05140257999300957
validation,1979,0.03493410380304596,0.05616440628114295,0.027576460043649265,0.034072190995527385,0.028023244813084602
validation,1980,0.024398565098573854,0.05616440628114295,0.0324291881026457,0.03021459106471711,0.038428034633398056
validation,1981,-0.022238320459537775,0.05616440628114295,0.009428816466917178,0.013752931970342266,-0.007129999343305826
validation,1982,0.015231022487823154,0.01106263278735922,0.022632381425720053,0.024388970285927052,0.04743166267871857
validation,1983,-0.008515647959983497,0.05616440628114295,0.005329088795172367,-0.011283851272842234,0.014867208898067474
validation,1984,-0.0011544218094510228,0.05616440628114295,0.008337052107291623,0.009525793379140566,0.04559476301074028
validation,1985,0.016671983914703148,0.05616440628114295,0.017752720779842183,0.017856869673005888,0.013011098839342594
validation,1986,0.034864615847332914,0.01106263278735922,0.014943957837800266,0.03129721953125381,0.01954580470919609
validation,1987,0.04594106367776085,0.05616440628114295,0.02022084563481874,0.022957640211618783,0.007574461400508881
validation,1988,0.010811717056965264,0.05616440628114295,0.0197983461122599,0.006337948589716836,0.02975318394601345
validation,1989,0.0347067150438356,0.05616440628114295,0.01876487398061669,0.026571952394546634,0.013051427900791168
validation,1990,0.028722191967045063,0.01106263278735922,0.020710419430944062,-0.010780344089324498,0.02873656153678894
validation,1991,0.02346701937121587,0.05616440628114295,0.017111379497336897,0.05072008592898957,0.010974940843880177
validation,1992,0.018747509723924694,0.05616440628114295,0.01644013495848264,0.012550906341150067,0.019173916429281235
validation,1993,-0.015388927690818122,0.05616440628114295,0.017519913585544354,0.027984721502394096,0.0021565486676990986
test,1994,0.03967136579169939,0.01106263278735922,0.012548228771888138,-0.005740319606596389,-0.00747689651325345
test,1995,0.04089429405709488,0.01106263278735922,0.009770142827647267,0.009643847568080618,0.0011178057175129652
test,1997,0.04050506637140927,0.01106263278735922,0.025709902241202655,0.0584641733136055,0.03498610109090805
test,1998,0.03256620307262459,0.01106263278735922,0.02542926934464097,0.034069319263012245,0.032690636813640594
test,1999,0.022347702762848698,0.01106263278735922,0.018998294990022934,0.02875216719180138,0.0354783721268177
test,2000,0.04047110596292569,0.01106263278735922,0.017935508500466407,0.009129246441142536,0.02495596744120121
test,2001,0.008516571581868249,0.01106263278735922,0.01214981458799004,0.03851769677358633,0.00020939535170327872
test,2002,0.019191285452135887,0.01106263278735922,0.014843759961405292,0.01748303065623878,0.021562814712524414
test,2003,0.032735150872262864,0.01106263278735922,0.015921617264476405,0.019306013807382283,-0.004644627217203379
test,2004,0.03167106638199613,0.01106263278735922,0.01861583572214074,0.018808364757831857,0.02577284350991249
test,2005,0.0011565170689138426,0.01106263278735922,0.02016573317365335,-0.01575749046634867,0.001436268095858395
test,2006,0.03373128826262217,0.01106263278735922,0.020800749561723276,-0.001492405539558287,0.03890765458345413
test,2007,-0.0006433326123982397,0.01106263278735922,0.020763611846981406,0.011271457968420516,0.02114802971482277
test,2008,0.016562256568448674,0.01106263278735922,0.01750678604247209,0.06246543629990469,0.00918529648333788
test,2009,-0.08664824070144661,0.01106263278735922,0.01773988966533123,0.034069319263012245,0.03503912314772606
test,2010,0.03168216879694086,0.01106263278735922,0.0148866812854504,0.025086743512403763,0.008731028996407986
test,2011,0.001680355783935994,0.01106263278735922,0.014208658560646131,-0.002518194213606165,0.035135358572006226
test,2012,-0.010949736134184818,0.01106263278735922,0.017364422514786027,0.05697339604147552,0.020609039813280106
test,2013,-0.03216139212642943,0.01106263278735922,0.0194690348480379,0.013974979730738635,0.006221775896847248
test,2014,-0.03502255648757924,0.01106263278735922,0.021774248402038773,0.03622588892830553,0.02771732024848461
