split,timestamp,actual,sarima_pred,hw_pred
validation,1975,-0.033621688192070565,0.01927259450786785,-0.0005728593485915259
validation,1976,0.11503586610982097,-0.0013339327545927177,-0.0005728593234810414
validation,1977,-0.08627607078190636,0.0038584270251975777,-0.000572859303392654
validation,1978,0.03160771835292131,0.0016524304905858704,-0.0005728592873219439
validation,1979,-0.014820293785563265,0.001568063314062796,-0.000572859274465376
validation,1980,-0.010535538704472103,0.0008752757071339677,-0.0005728592641801216
validation,1981,-0.04663688555811163,0.000356965050537601,-0.000572859255951918
validation,1982,0.03746934294736093,-0.00021138042520021754,-0.0005728592493693552
validation,1983,-0.02374667044780665,-0.0007653773974724066,-0.000572859244103305
validation,1984,0.007361226150532474,-0.0013234890953543984,-0.0005728592398904647
validation,1985,0.01782640572415417,-0.001880420811861711,-0.0005728592365201925
validation,1986,0.018192631932629766,-0.00243769091206131,-0.0005728592338239748
validation,1987,0.011076447830427938,-0.0029948639738451655,-0.0005728592316670007
validation,1988,-0.03512934662079559,-0.0035520648633711512,-0.0005728592299414213
validation,1989,0.023894997986870337,-0.004109257772725304,-0.0005728592285609578
validation,1990,-0.005984523076790538,-0.0046664529705562644,-0.0005728592274565871
validation,1991,-0.005255172595829194,-0.00522364751211989,-0.0005728592265730905
validation,1992,-0.004719509647291176,-0.00578084224188154,-0.0005728592258662931
validation,1993,-0.034136437414742815,-0.006338036917673573,-0.0005728592253008553
test,1994,0.05506029348251751,0.0058041188140924155,-0.0008479987483943722
test,1995,0.0012229282653954954,-0.006576591768322551,-0.0008479987480352057
test,1997,-0.0003892276856856114,-0.0035076391999304436,-0.0008479987477478725
test,1998,-0.007938863298784682,-0.005000733883461565,-0.0008479987475180059
test,1999,-0.01021850030977589,-0.005146726372878306,-0.0008479987473341127
test,2000,0.018123403200076993,-0.005690497364177674,-0.0008479987471869981
test,2001,-0.03195453438105744,-0.006116810498715099,-0.0008479987470693065
test,2002,0.010674713870267638,-0.00657780712682951,-0.000847998746975153
test,2003,0.013543865420126977,-0.007028562254205977,-0.0008479987468998304
test,2004,-0.0010640844902667368,-0.007482341538798108,-0.0008479987468395723
test,2005,-0.030514549313082284,-0.007935227836405316,-0.0008479987467913657
test,2006,0.03257477119370833,-0.008388377819296845,-0.0008479987467528005
test,2007,-0.03437462087502041,-0.00884144993999067,-0.0008479987467219484
test,2008,0.017205589180846914,-0.009294545052190626,-0.0008479987466972666
test,2009,-0.10321049726989528,-0.009747633375353415,-0.0008479987466775212
test,2010,0.11833040949838747,-0.010200723703214174,-0.0008479987466617249
test,2011,-0.030001813013004863,-0.010653813439118542,-0.0008479987466490879
test,2012,-0.012630091918120812,-0.0111069033498185,-0.0008479987466389783
test,2013,-0.021211655992244616,-0.011559993208904015,-0.0008479987466308906
test,2014,-0.002861164361149804,-0.01201308308323048,-0.0008479987466244204
