model,lookback,feature_selection,selected_features,n_selected_features,params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rank_rmse_val,rank_abs_mbe_val
decision_tree,12,importance,"lag_1, lag_2, lag_3, lag_4, lag_5, lag_6",6,"{'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 42}",0.011249758347435765,0.008939574345070977,68.35841618133746,-0.002418658248490783,0.002418658248490783,4824.345131225789,4084.822977715465,1.6329144536029139,-3690.614338295973,3690.614338295973,4824.345131225789,3690.614338295973
decision_tree,12,importance,"lag_1, lag_2, lag_3, lag_4, lag_5, lag_6",6,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.01190176621749914,0.009375596678985312,64.41611099511816,-0.0045765580891425,0.0045765580891425,8479.419215589585,7201.665566521905,2.829236141498748,-7201.665566521905,7201.665566521905,8479.419215589585,7201.665566521905
decision_tree,12,importance,"lag_1, lag_2, lag_3, lag_4, lag_5, lag_6",6,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.01190176621749914,0.009375596678985312,64.41611099511816,-0.0045765580891425,0.0045765580891425,8479.419215589585,7201.665566521905,2.829236141498748,-7201.665566521905,7201.665566521905,8479.419215589585,7201.665566521905
decision_tree,6,importance,"lag_1, lag_2, lag_3, lag_4, lag_6, lag_5",6,"{'max_depth': 5, 'min_samples_leaf': 1, 'random_state': 42}",0.012108855457423006,0.009547042755776254,63.751785381960836,-0.005090896319515331,0.005090896319515331,9390.617872495508,8029.023981177619,3.1515782266245367,-8029.023981177619,8029.023981177619,9390.617872495508,8029.023981177619
decision_tree,6,importance,"lag_1, lag_2, lag_3, lag_4, lag_6, lag_5",6,"{'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 42}",0.012108855457423006,0.009547042755776254,63.751785381960836,-0.005090896319515331,0.005090896319515331,9390.617872495508,8029.023981177619,3.1515782266245367,-8029.023981177619,8029.023981177619,9390.617872495508,8029.023981177619
decision_tree,8,importance,"lag_1, lag_2, lag_3, lag_4, lag_6, lag_5",6,"{'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 42}",0.012108855457423006,0.009547042755776254,63.751785381960836,-0.005090896319515331,0.005090896319515331,9390.617872495508,8029.023981177619,3.1515782266245367,-8029.023981177619,8029.023981177619,9390.617872495508,8029.023981177619
decision_tree,6,importance,"lag_1, lag_2, lag_3, lag_4, lag_6, lag_5",6,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.01244775323193139,0.009800558890955468,62.76945166455782,-0.005851444725052969,0.005851444725052969,10745.29536693386,9245.800156002171,3.625712253182458,-9245.800156002171,9245.800156002171,10745.29536693386,9245.800156002171
decision_tree,6,importance,"lag_1, lag_2, lag_3, lag_4, lag_6, lag_5",6,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.01244775323193139,0.009800558890955468,62.76945166455782,-0.005851444725052969,0.005851444725052969,10745.29536693386,9245.800156002171,3.625712253182458,-9245.800156002171,9245.800156002171,10745.29536693386,9245.800156002171
decision_tree,8,importance,"lag_1, lag_2, lag_3, lag_4, lag_6, lag_5",6,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.01244775323193139,0.009800558890955468,62.76945166455782,-0.005851444725052969,0.005851444725052969,10745.29536693386,9245.800156002171,3.625712253182458,-9245.800156002171,9245.800156002171,10745.29536693386,9245.800156002171
decision_tree,12,importance,"lag_1, lag_2, lag_3, lag_4, lag_5, lag_6",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.03198246312402774,0.027425674812378304,177.87755053584496,-0.009790608536989579,0.009790608536989579,13496.783036781811,10180.289277649506,4.038497491357278,-9332.296992993615,9332.296992993615,13496.783036781811,9332.296992993615
