model,lookback,feature_selection,selected_features,n_selected_features,best_params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_test,rank_abs_mbe_test
random_forest,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.01779371326457414,0.015033815067177329,113.09052085213334,0.0017003118846128176,0.0017003118846128176,6579.013933409208,5025.791259435968,2.6701762892829004,4861.089439131803,4861.089439131803,0.03316279075800685,0.023432923200715224,347.3522808444095,0.006432252469365629,0.006432252469365629,25658.149474110407,22438.8673420946,7.790453525512102,-15827.138175252889,15827.138175252889,25658.149474110407,15827.138175252889
gradient_boosting,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",0.01856969517872615,0.012961505510762021,105.15082488474768,0.00225430477301997,0.00225430477301997,6276.127543311655,4794.0345288655635,2.4837277815768544,4124.770001521728,4124.770001521728,0.042346119686371905,0.03093235269961294,293.10339867801446,0.011038776548257204,0.011038776548257204,27751.145801052604,23719.431721277448,8.23593276919965,-5172.193563022942,5172.193563022942,27751.145801052604,5172.193563022942
xgboost,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'n_estimators': 600, 'learning_rate': 0.03, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': 1}",0.02087063306125153,0.01681100154929348,289.1176213479517,0.004922360445084469,0.004922360445084469,17674.635090236552,15031.378007623967,7.611588791772597,14948.244891451426,14948.244891451426,0.03819089220472314,0.026028521545426918,341.5895863829694,0.007041308393015022,0.007041308393015022,27912.146132663594,24796.165152610825,8.636139475217918,-16751.22580711269,16751.22580711269,27912.146132663594,16751.22580711269
decision_tree,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 42}",0.04440987607151433,0.039419305552638416,470.12331679199616,0.025463511818130547,0.025463511818130547,67196.35654540404,53597.230554906855,26.266313316446926,53597.230554906855,53597.230554906855,0.03186958524420014,0.024592511841544616,229.51130328117196,-0.00033522424892521997,0.00033522424892521997,38374.02621605923,34479.049870210234,11.789259297895878,-34479.049870210234,34479.049870210234,38374.02621605923,34479.049870210234
