split,timestamp,actual,sarima_pred,hw_pred
validation,1989,0.042870129045263994,0.03556594143052941,0.04670430774225894
validation,1990,0.03431773147135786,0.03144617405460394,0.0463850111297976
validation,1991,0.022242682573246242,0.03353944727497624,0.046065714517336265
validation,1992,0.01943691914036272,0.03177645548764807,0.04574641790487492
validation,1993,0.003930705671100654,0.031880070974211555,0.04542712129241359
validation,1994,0.03262394370592503,0.031097416330851103,0.045107824679952245
validation,1995,0.02880340480412613,0.030752442662056578,0.04478852806749091
validation,1997,0.04131076412440926,0.030208154126610005,0.044469231455029574
validation,1998,0.02773825271053809,0.02977077081630921,0.04414993484256823
validation,1999,0.02452333197180323,0.029292829769868058,0.0438306382301069
validation,2000,0.04404615324709482,0.02884509170717651,0.043511341617645555
validation,2001,0.021855852312109292,0.02839335463564851,0.04319204500518422
test,2002,0.01897172716467921,0.022579796631678396,0.032977849089853135
test,2003,0.02989299197043671,0.021716362784572417,0.03245687096841047
test,2004,0.015559300521092112,0.028339868681262703,0.03193589284696781
test,2005,0.017343498233303833,0.024515352012373273,0.03141491472552514
test,2006,0.024599870917354494,0.025741786389231188,0.03089393660408248
test,2007,0.004461992546417548,0.024541360387341803,0.030372958482639816
test,2008,0.0002633261874294135,0.024521662024976347,0.029851980361197156
test,2009,-0.06180778249852281,0.023942011906677683,0.02933100223975449
test,2010,0.032702052461178965,0.023642062293446533,0.02881002411831183
test,2011,0.012529044938021983,0.0232165592667668,0.028289045996869162
test,2012,-0.0211661745359617,0.02286086977374205,0.027768067875426503
test,2013,-0.03286262865621303,0.022480587238076853,0.02724708975398384
test,2014,-0.021089408916280306,0.022121111858134715,0.026726111632541176
