global_rank,model,best_params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,aic,aicc,family,lookback,feature_selection,selected_features,n_selected_features,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_val,rank_abs_mbe_val,rank_rmse_test,rank_abs_mbe_test,overfitting_gap,composite_score,best_epoch,best_val_loss,rank_rmse_val_global,rank_abs_mbe_val_global
1,mlp,"{'hidden_size': 8, 'activation': 'relu', 'dropout': 0.1, 'batch_size': 8, 'learning_rate': 0.001, 'weight_decay': 0.0}",0.12820656949579265,0.1032377824033952,47.202329400461586,-0.022608121201571754,0.022608121201571754,4563.511175292998,3945.740800493945,1.5958843368323805,-3458.185933096737,3458.185933096737,0.40351862112212655,0.2921189524097213,39.37536271952067,0.2741160696126825,0.2741160696126825,,,neural,4.0,,,,53282.10997958323,38654.45005205735,12.764643489800157,38536.52591493294,38536.52591493294,4563.511175292998,3458.185933096737,53282.10997958323,38536.52591493294,,,196.0,0.020391182973980904,4563.511175292998,3458.185933096737
2,gradient_boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 2, 'random_state': 42}",0.010811884252951908,0.008688902923630016,77.3160800251266,0.0014968242351479923,0.0014968242351479923,4731.777268657059,4254.931865880848,1.7235758593837387,3111.196639652781,3111.196639652781,0.039144012096515524,0.028655966867768008,1000.589070599823,0.02561715164434094,0.02561715164434094,,,ml,3.0,importance,"lag_1, lag_2, lag_3",3.0,53449.22359736039,37320.68082328766,12.351307024701017,36248.666262325205,36248.666262325205,4731.777268657059,3111.196639652781,53449.22359736039,36248.666262325205,48717.44632870333,29090.500433008725,,,4731.777268657059,3111.196639652781
3,sarima,"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 0, 0)}",0.01300236590227307,0.010280981492889326,97.81585910369591,0.007099964789044064,0.007099964789044064,16675.810025361377,14295.104546096773,5.589320525160871,14220.655660540278,14220.655660540278,0.036795884969160884,0.02662349286939414,921.037549541909,0.02563403232317378,0.02563403232317378,-135.2858933327667,-134.33351238038574,statistical,,,,,,,,,,,,,,,,,,16675.810025361377,14220.655660540278
