family,model,best_params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,aic,aicc,lookback,feature_selection,selected_features,n_selected_features,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_val,rank_abs_mbe_val,rank_rmse_test,rank_abs_mbe_test,overfitting_gap,composite_score,best_epoch,best_val_loss,rank_rmse_val_global,rank_abs_mbe_val_global
neural,mlp,"{'hidden_size': 8, 'activation': 'relu', 'dropout': 0.1, 'batch_size': 8, 'learning_rate': 0.001, 'weight_decay': 0.0}",0.12820656949579265,0.1032377824033952,47.202329400461586,-0.022608121201571754,0.022608121201571754,4563.511175292998,3945.740800493945,1.5958843368323805,-3458.185933096737,3458.185933096737,0.40351862112212655,0.2921189524097213,39.37536271952067,0.2741160696126825,0.2741160696126825,,,4.0,,,,53282.10997958323,38654.45005205735,12.764643489800157,38536.52591493294,38536.52591493294,4563.511175292998,3458.185933096737,53282.10997958323,38536.52591493294,,,196.0,0.020391182973980904,4563.511175292998,3458.185933096737
ml,gradient_boosting,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 2, 'random_state': 42}",0.010811884252951908,0.008688902923630016,77.3160800251266,0.0014968242351479923,0.0014968242351479923,4731.777268657059,4254.931865880848,1.7235758593837387,3111.196639652781,3111.196639652781,0.039144012096515524,0.028655966867768008,1000.589070599823,0.02561715164434094,0.02561715164434094,,,3.0,importance,"lag_1, lag_2, lag_3",3.0,53449.22359736039,37320.68082328766,12.351307024701017,36248.666262325205,36248.666262325205,4731.777268657059,3111.196639652781,53449.22359736039,36248.666262325205,48717.44632870333,29090.500433008725,,,4731.777268657059,3111.196639652781
ml,random_forest,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.011330497031379925,0.009275603305960027,81.62550798342674,0.0018664133871043565,0.0018664133871043565,4910.4079495338065,4549.420873780186,1.839896059991684,2835.373850282597,2835.373850282597,0.039925060438768575,0.029257679482949602,1042.913035791567,0.028996120267814916,0.028996120267814916,,,4.0,importance,"lag_1, lag_2, lag_3",3.0,64760.23912567263,48289.86831973361,15.925599818780162,48289.86831973361,48289.86831973361,4910.4079495338065,2835.373850282597,64760.23912567263,48289.86831973361,59849.831176138825,34835.32353760322,,,4910.4079495338065,2835.373850282597
ml,decision_tree,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.012333663928888716,0.009864575987612834,92.06293366524041,0.005604650814998423,0.005604650814998423,12352.727435512386,10566.388587624891,4.131172858960753,9948.38993512895,9948.38993512895,0.04238902367647718,0.03275416745673014,1152.8076922683215,0.03275416745673014,0.03275416745673014,,,4.0,importance,"lag_1, lag_2, lag_3",3.0,76998.6737708943,59682.03747584218,19.657141830754966,59682.03747584218,59682.03747584218,12352.727435512386,9948.38993512895,76998.6737708943,59682.03747584218,64645.94633538191,44675.70060320334,,,12352.727435512386,9948.38993512895
statistical,sarima,"{'order': (2, 0, 2), 'seasonal_order': (0, 0, 0, 0)}",0.01300236590227307,0.010280981492889326,97.81585910369591,0.007099964789044064,0.007099964789044064,16675.810025361377,14295.104546096773,5.589320525160871,14220.655660540278,14220.655660540278,0.036795884969160884,0.02662349286939414,921.037549541909,0.02563403232317378,0.02563403232317378,-135.2858933327667,-134.33351238038574,,,,,,,,,,,,,,,,,,16675.810025361377,14220.655660540278
neural,lstm,"{'hidden_size': 16, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 8, 'learning_rate': 0.001, 'weight_decay': 0.0}",0.3753496018042297,0.30535686919357635,116.06112514485878,0.0950751689919065,0.0950751689919065,17965.69176486078,15413.974829917235,6.145652326361509,-4368.708766162129,4368.708766162129,0.5668483022889753,0.4329505532223298,69.4597735284194,0.3111980631558673,0.3111980631558673,,,6.0,,,,67199.35420045175,50300.48403365215,16.599330347686468,38681.82651127513,38681.82651127513,17965.69176486078,4368.708766162129,67199.35420045175,38681.82651127513,,,96.0,0.015101448632776737,17965.69176486078,4368.708766162129
