model,lookback,feature_selection,selected_features,n_selected_features,best_params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_val,rank_abs_mbe_val,rank_rmse_test,rank_abs_mbe_test,overfitting_gap,composite_score
random_forest,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.01779371326457414,0.015033815067177329,113.09052085213334,0.0017003118846128176,0.0017003118846128176,6579.013933409208,5025.791259435968,2.6701762892829004,4861.089439131803,4861.089439131803,0.03316279075800685,0.023432923200715224,347.3522808444095,0.006432252469365629,0.006432252469365629,25658.149474110407,22438.8673420946,7.790453525512102,-15827.138175252889,15827.138175252889,6579.013933409208,4861.089439131803,25658.149474110407,15827.138175252889,19079.135540701198,6579.013933409208
gradient_boosting,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",0.04677595028484116,0.03446592386034414,468.57130550536993,0.02186436347848054,0.02186436347848054,51022.605239267694,37098.369832479686,17.83847729582151,37048.99625838612,37048.99625838612,0.03334554565505926,0.023868075803252287,237.16990557977087,0.006634437108880139,0.006634437108880139,19894.690958656636,18230.030306455366,6.358597524159908,-7506.212213299831,7506.212213299831,51022.605239267694,37048.99625838612,19894.690958656636,7506.212213299831,0.0,51022.605239267694
decision_tree,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.035205456866235045,0.029064995912268896,358.8313860836469,0.021479477329842223,0.021479477329842223,55433.661755042434,43416.78222835066,21.19479312501308,43272.106710856024,43272.106710856024,0.044659374958120154,0.03128740454735256,740.6257993234975,0.03128740454735256,0.03128740454735256,105103.85232816108,74214.50330114001,25.104963406784165,74214.50330114001,74214.50330114001,55433.661755042434,43272.106710856024,105103.85232816108,74214.50330114001,49670.19057311865,55433.661755042434
