split,timestamp,actual,decision_tree_pred,random_forest_pred,gradient_boosting_pred
validation,1975,-0.010613116092226704,0.042685261583636995,0.010892866857728443,-0.0036019780159031404
validation,1976,0.10442275001759427,0.042685261583636995,0.0773201553621241,0.09453958525320558
validation,1977,0.018146679235687913,0.042685261583636995,0.04220336559062079,0.03528624356175296
validation,1978,0.04975439758860922,0.042685261583636995,0.03580386006022894,0.05537445981941869
validation,1979,0.03493410380304596,0.042685261583636995,0.027576460043649265,0.033780229950844606
validation,1980,0.024398565098573854,0.042685261583636995,0.0324291881026457,0.05447802895931744
validation,1981,-0.022238320459537775,0.042685261583636995,0.009428816466917178,-0.0071126970503994115
validation,1982,0.015231022487823154,0.042685261583636995,0.022632381425720053,0.049306820981292826
validation,1983,-0.008515647959983497,0.042685261583636995,0.005329088795172367,0.001274803320011804
validation,1984,-0.0011544218094510228,0.042685261583636995,0.008337052107291623,0.06672407313887707
validation,1985,0.016671983914703148,0.042685261583636995,0.017752720779842183,0.00644802503769312
validation,1986,0.034864615847332914,0.042685261583636995,0.014943957837800266,0.07219653350933614
validation,1987,0.04594106367776085,0.042685261583636995,0.02022084563481874,0.0010993504160387209
validation,1988,0.010811717056965264,0.042685261583636995,0.0197983461122599,0.10152285675897785
validation,1989,0.0347067150438356,0.042685261583636995,0.01876487398061669,0.001364995242299685
validation,1990,0.028722191967045063,0.042685261583636995,0.020710419430944062,0.1236000414236556
validation,1991,0.02346701937121587,0.042685261583636995,0.017111379497336897,0.0031966263003698086
validation,1992,0.018747509723924694,0.042685261583636995,0.01644013495848264,0.12601369074235544
validation,1993,-0.015388927690818122,0.042685261583636995,0.017519913585544354,0.0028411175640861244
test,1994,0.03967136579169939,0.042685261583636995,0.012548228771888138,-0.004419670246344254
test,1995,0.04089429405709488,0.042685261583636995,0.009770142827647267,0.011075826921778541
test,1997,0.04050506637140927,0.042685261583636995,0.025709902241202655,0.060307563965378855
test,1998,0.03256620307262459,0.042685261583636995,0.02542926934464097,0.03370674008545761
test,1999,0.022347702762848698,0.042685261583636995,0.018998294990022934,0.028329033111806925
test,2000,0.04047110596292569,0.042685261583636995,0.017935508500466407,0.009382791422649426
test,2001,0.008516571581868249,0.042685261583636995,0.01214981458799004,0.03590195635802396
test,2002,0.019191285452135887,0.042685261583636995,0.014843759961405292,0.018075720211790307
test,2003,0.032735150872262864,0.042685261583636995,0.015921617264476405,0.021554533527392936
test,2004,0.03167106638199613,0.042685261583636995,0.01861583572214074,0.015409678264550013
test,2005,0.0011565170689138426,0.042685261583636995,0.02016573317365335,-0.0017907194964068194
test,2006,0.03373128826262217,0.042685261583636995,0.020800749561723276,0.014998086953550729
test,2007,-0.0006433326123982397,0.042685261583636995,0.020763611846981406,0.01215853889846321
test,2008,0.016562256568448674,0.042685261583636995,0.01750678604247209,0.037429175056570015
test,2009,-0.08664824070144661,0.042685261583636995,0.01773988966533123,0.01785112977999174
test,2010,0.03168216879694086,0.042685261583636995,0.0148866812854504,0.014581608143909346
test,2011,0.001680355783935994,0.042685261583636995,0.014208658560646131,0.020245455424319967
test,2012,-0.010949736134184818,0.042685261583636995,0.017364422514786027,-0.010251026728081928
test,2013,-0.03216139212642943,0.042685261583636995,0.0194690348480379,0.015338956588529868
test,2014,-0.03502255648757924,0.042685261583636995,0.021774248402038773,0.010760504659961177
