model,lookback,feature_selection,selected_features,n_selected_features,params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,cv_rmse_train,rank_rmse_val_single,rank_rmse_val,rank_abs_mbe_val
decision_tree,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.045007581306084204,0.0403633529913062,484.1746537862823,0.03532175148865993,0.03532175148865993,105431.0185217824,83603.46811787388,40.820444725735086,83603.46811787388,83603.46811787388,,105431.0185217824,105431.0185217824,83603.46811787388
decision_tree,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.045007581306084204,0.0403633529913062,484.1746537862823,0.03532175148865993,0.03532175148865993,105431.0185217824,83603.46811787388,40.820444725735086,83603.46811787388,83603.46811787388,,105431.0185217824,105431.0185217824,83603.46811787388
decision_tree,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.13089906136246807,0.11566733218808112,804.4074722787492,-0.11566733218808112,0.11566733218808112,138942.98253302302,128163.48396950419,64.70416506465743,-128163.48396950419,128163.48396950419,,138942.98253302302,138942.98253302302,128163.48396950419
decision_tree,6,importance,"lag_4, lag_1, lag_5, lag_6, lag_2, lag_3",6,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.0679861589955077,0.0561924123500144,314.04135468831413,0.04733761042260306,0.04733761042260306,162700.02077728603,130218.18698179834,63.65173228066945,130218.18698179834,130218.18698179834,,162700.02077728603,162700.02077728603,130218.18698179834
decision_tree,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42}",0.05851152927987492,0.04940788356147005,623.2014132580986,0.046105998434272245,0.046105998434272245,164786.8444351175,138350.98637940927,68.36237962644202,138350.98637940927,138350.98637940927,,164786.8444351175,164786.8444351175,138350.98637940927
decision_tree,6,importance,"lag_4, lag_1, lag_5, lag_6, lag_2, lag_3",6,"{'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 42}",0.05873760133986078,0.05501030234697001,635.058761626842,0.05169187135675477,0.05169187135675477,180860.35573730903,142670.5704710166,69.53644628233991,142670.5704710166,142670.5704710166,,180860.35573730903,180860.35573730903,142670.5704710166
decision_tree,6,importance,"lag_4, lag_1, lag_5, lag_6, lag_2, lag_3",6,"{'max_depth': 3, 'min_samples_leaf': 2, 'random_state': 42}",0.05873760133986078,0.05501030234697001,635.058761626842,0.05169187135675477,0.05169187135675477,180860.35573730903,142670.5704710166,69.53644628233991,142670.5704710166,142670.5704710166,,180860.35573730903,180860.35573730903,142670.5704710166
decision_tree,6,importance,"lag_4, lag_1, lag_5, lag_6, lag_2, lag_3",6,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.06998184324756189,0.06294995813716267,917.8687012291757,0.0575940140900174,0.0575940140900174,219863.3614308834,168902.29334834093,81.82487341998488,168607.7004062326,168607.7004062326,,219863.3614308834,219863.3614308834,168607.7004062326
gradient_boosting,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",0.06224704857132473,0.051400793129566885,444.0075672960016,0.027010253014752367,0.027010253014752367,70527.0665338696,56938.692429854964,28.106267219704744,56938.692429854964,56938.692429854964,,70527.0665338696,70527.0665338696,56938.692429854964
gradient_boosting,12,importance,"lag_4, lag_1, lag_9, lag_6, lag_2, lag_3",6,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2, 'random_state': 42}",0.06252902141134672,0.051443822770031976,585.9484652438208,0.0395793554679754,0.0395793554679754,119249.26160965592,94017.11870141751,45.89991243836174,94017.11870141751,94017.11870141751,,119249.26160965592,119249.26160965592,94017.11870141751
