model,lookback,best_params,best_epoch,best_val_loss,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rmse_test,mae_test,mape_test,mbe_test,abs_mbe_test,rmse_test_orig,mae_test_orig,mape_test_orig,mbe_test_orig,abs_mbe_test_orig,rank_rmse_val,rank_abs_mbe_val,rank_rmse_test,rank_abs_mbe_test
lstm,6,"{'hidden_size': 8, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",107,1.3260073501442093e-05,0.015986480855374276,0.0134540964128252,1.3082626008002116,0.013362049771226148,0.013362049771226148,41396.8175688942,33818.63406996269,16.79269093102563,33665.77938854018,33665.77938854018,0.009391615185521694,0.0066250959667405905,0.6244008377005563,0.0066250959667405905,0.0066250959667405905,33649.26376660774,23138.377471449086,8.007480422512002,23138.377471449086,23138.377471449086,41396.8175688942,33665.77938854018,33649.26376660774,23138.377471449086
mlp,12,"{'hidden_size': 16, 'activation': 'tanh', 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",16,1.1902208825631533e-05,0.029445103733789495,0.02883085935028722,2.8135785324631843,-0.02883085935028722,0.02883085935028722,55020.73303418689,52867.90065929842,27.42369098392282,-52867.90065929842,52867.90065929842,0.04535746050079745,0.04413401686818983,4.1575919972970565,-0.04413401686818983,0.04413401686818983,115416.57651469397,111709.22934136706,38.553732319601245,-111709.22934136706,111709.22934136706,55020.73303418689,52867.90065929842,115416.57651469397,111709.22934136706
