year,value
1884,0.4054651081081645
1885,0.2876820724517808
1886,0.0
1887,0.2231435513142097
1888,0.18232155679395468
1889,0.15415067982725827
1890,0.25131442828090633
1891,0.5753641449035616
1892,0.36290549368936853
1893,0.23180161405732447
1894,0.15906469462968742
1895,0.3022808718729335
1896,0.10318423623523065
1897,0.39890770756200533
1898,0.2843871765549286
1899,0.33363937353690876
1900,0.1326444746062947
1901,0.31675833653328933
1902,0.30894756323112293
1903,0.28685116255769394
1904,0.11750591219610929
1905,0.20026746965023623
1906,0.24077307788167523
1907,0.3050061755108002
1908,0.1908723461764925
1909,0.12250206979062206
1910,0.14299835312095688
1911,0.1822105135424943
1912,0.10530498940777733
1913,0.09526474694272835
1914,0.1573260056977821
1915,0.12739849435582595
1916,0.15775709730399612
1917,0.15515092997316948
1918,0.07230322392650024
1919,-0.07230322392650024
1920,0.15910144947122262
1921,-0.032498527230506724
1922,0.04098934453319636
1923,0.1705923601198247
1924,0.13950620078126974
1925,0.11828240284800451
1926,0.14464214248982366
1927,0.04086489671041704
1928,0.09696246298037714
1929,0.07499014963238082
1930,0.027552569423319184
1931,-0.018920250329102828
1932,0.011395052556206764
1933,0.09538742937627198
1934,0.07838416264975301
1935,0.09096487741834736
1936,-0.011074794431845447
1937,0.12271221421501011
1938,0.0073605704216479495
1939,0.16958940378845888
1940,0.05354128156971427
1941,0.06625466390216417
1942,-0.02576003498735524
1943,-0.10330887280161072
1944,-0.2979641841893752
1945,-0.06851314012730825
1946,0.3238224000932952
1947,0.16267618580443433
1948,0.09806788934529465
1949,-0.0880092910714918
1950,0.171938888194056
1951,0.16891605646198826
1952,0.053951952477733656
1953,0.055983355222153364
1954,0.08671754678304744
1955,0.06922709095166013
1956,0.06272540302204099
1957,0.05123540095702239
1958,0.06272742906088702
1959,0.08139956113118352
1960,0.13068799918445428
1961,0.07408765123562233
1962,0.0684974213603855
1963,0.09529616350336667
1964,0.0728958204362673
1965,0.07804395923564122
1966,0.08127595738683091
1967,0.07321386218216297
1968,0.07154941347702426
1969,0.06003854486065485
1970,0.06124649384158687
1971,0.06140980276886587
1972,0.08001251980332924
1973,0.07309302390371109
1974,0.02300857209984386
